Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[1.81288295 2.69654289 1.76301834 2.53006962]],[[0.82458025 1.05349712 0.8189992  1.02826905]],[[0.67290447 0.60732685 0.67105716 0.61131472]],[[0.15965375 0.14255365 0.15625301 0.14313227]],[[0.92772957 0.89268679 0.92978826 0.89929414]],[[0.02548932 0.02032154 0.024415   0.02048685]],corrosion
[[0.4997428  0.84007994 0.48817252 0.66393497]],[[0.35647544 0.49748168 0.34933794 0.43784775]],[[0.83562299 0.78301524 0.83880395 0.80254041]],[[0.22664647 0.206949   0.22857569 0.21401924]],[[0.97839493 0.96367164 0.97888754 0.97128902]],[[0.05136862 0.04282789 0.05224684 0.04580424]],corrosion
[[2.04676899 2.91783964 2.02350827 2.48248399]],[[0.72500278 0.92445378 0.75229323 0.84216698]],[[0.73740463 0.68273297 0.72268448 0.70041448]],[[0.20919159 0.19292964 0.20133501 0.19564207]],[[0.9574833  0.93934898 0.95793311 0.94840258]],[[0.04376112 0.03722184 0.04053579 0.03827582]],corrosion
[[0.24734179 0.46249252 0.4256967  0.50072896]],[[0.16519068 0.27401576 0.25927327 0.28580532]],[[0.92475082 0.87948352 0.88525094 0.8757865 ]],[[0.48098002 0.46300506 0.46532287 0.46209424]],[[0.98779574 0.97711083 0.97893564 0.97522718]],[[0.23134178 0.21437369 0.21652537 0.21353109]],corrosion
[[0.53494077 0.88204861 0.49122877 0.81563327]],[[0.21217742 0.29826743 0.21138861 0.29349483]],[[0.91971017 0.89538976 0.91770615 0.89461399]],[[0.38920013 0.3780056  0.38544486 0.3769335 ]],[[0.96515191 0.94273586 0.96801346 0.9470511 ]],[[0.15147674 0.14288823 0.14856774 0.14207886]],corrosion
[[2.66906698 2.76880432 2.72285003 2.99879926]],[[1.22945715 1.26513313 1.24631813 1.31817508]],[[0.51918693 0.50811201 0.51421123 0.49650022]],[[0.20687317 0.20487415 0.20609306 0.20301378]],[[0.38316945 0.36039647 0.37096191 0.30727219]],[[0.04279651 0.04197342 0.04247435 0.04121459]],corrosion
[[3.2073132  3.77629476 2.43967989 4.31042199]],[[1.27571542 1.39829763 1.07676382 1.47634271]],[[0.52740391 0.49943284 0.57928078 0.48825855]],[[0.12837323 0.12332983 0.13792027 0.12104175]],[[0.83631816 0.80721804 0.8760265  0.77994076]],[[0.01647969 0.01521025 0.019022   0.01465111]],corrosion
[[0.63871598 1.25135765 0.83999897 1.17234328]],[[0.27887861 0.42285287 0.33696702 0.41391839]],[[0.88941618 0.84767008 0.87063713 0.84839298]],[[0.23720986 0.22344396 0.23111053 0.22384524]],[[0.98439733 0.96944429 0.97948839 0.97137352]],[[0.05626852 0.0499272  0.05341208 0.05010669]],corrosion
[[0.90653433 1.35920273 0.77913713 1.37753181]],[[0.35913805 0.4511816  0.30397064 0.45830241]],[[0.85693588 0.8316571  0.87812835 0.82926588]],[[0.23204349 0.22221181 0.24096357 0.22155716]],[[0.97021816 0.95536482 0.97440506 0.95476054]],[[0.05384418 0.04937809 0.05806344 0.04908758]],corrosion
[[1.78339516 2.53176386 2.12875125 2.58087351]],[[0.95195644 1.16527633 1.04563437 1.17833079]],[[0.60273138 0.54314305 0.57790676 0.53984109]],[[0.20117076 0.18687342 0.19461233 0.18631448]],[[0.68830823 0.55806461 0.62841892 0.5495055 ]],[[0.04046967 0.03492168 0.03787396 0.03471309]],corrosion
