Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[0.36916917 0.4409941  0.20131062 0.47274328]],[[0.23046647 0.26883396 0.15702605 0.27859322]],[[0.89686852 0.8804222  0.92562808 0.87728364]],[[0.29399317 0.28709634 0.30025688 0.28732615]],[[0.98631069 0.98364457 0.99253543 0.98246586]],[[0.08643198 0.08242431 0.09015419 0.08255632]],corrosion
[[1.83650623 2.73785726 1.45360722 2.92810694]],[[0.65702826 0.85940511 0.61699702 0.87118658]],[[0.75081249 0.70036431 0.76092586 0.70288863]],[[0.26438583 0.25388797 0.26827201 0.25389192]],[[0.95171203 0.92808364 0.96194807 0.92313603]],[[0.06989987 0.0644591  0.07196987 0.06446111]],corrosion
[[0.10758811 0.72193437 0.70418309 0.77690083]],[[0.09168465 0.2428405  0.21909697 0.25286179]],[[0.95570701 0.90525083 0.91662595 0.90241606]],[[0.42404602 0.40716633 0.41374927 0.40582612]],[[0.99378716 0.95796456 0.95898099 0.95471386]],[[0.17981503 0.16578442 0.17118846 0.16469484]],corrosion
[[2.01812852 2.71338333 1.36741259 2.18294297]],[[0.95271429 1.14207508 0.7589011  1.01181118]],[[0.61747961 0.56427846 0.67584618 0.59801883]],[[0.16634124 0.15358461 0.1815427  0.16148497]],[[0.83074046 0.77193565 0.88537635 0.81649158]],[[0.02766941 0.02358823 0.03295775 0.0260774 ]],corrosion
[[0.49990575 0.76077586 0.54939578 0.80303498]],[[0.38713909 0.51592669 0.41776093 0.52654833]],[[0.81740525 0.76534149 0.80386572 0.76262653]],[[0.21303051 0.19455829 0.20829441 0.19404565]],[[0.97689363 0.96472487 0.97454871 0.96277524]],[[0.045382   0.03785293 0.04338656 0.03765372]],corrosion
[[2.90015929 5.17451944 2.45066702 3.69798969]],[[1.01581449 1.4251112  0.93374035 1.18252204]],[[0.64372474 0.56161925 0.65894994 0.60217802]],[[0.14112162 0.12400768 0.14406303 0.13096772]],[[0.92104792 0.85913257 0.93328691 0.89932857]],[[0.01991531 0.0153779  0.02075416 0.01715254]],corrosion
[[0.51175349 0.95105055 0.62749899 0.92980988]],[[0.24250872 0.34239064 0.26545308 0.34347887]],[[0.89683221 0.86527864 0.88892261 0.86361576]],[[0.40366441 0.39676993 0.40159252 0.39644015]],[[0.99179464 0.98475014 0.98993797 0.98508857]],[[0.16294496 0.15742638 0.16127656 0.15716479]],corrosion
[[0.36887203 0.79149517 0.56143205 0.89690978]],[[0.19553869 0.35400247 0.28291781 0.39034516]],[[0.91624211 0.85894761 0.88248658 0.84692161]],[[0.3306274  0.30920726 0.31656332 0.30850535]],[[0.98974036 0.97794725 0.98434634 0.97500989]],[[0.10931448 0.09560913 0.10021234 0.09517555]],corrosion
[[2.14124576 3.29681414 2.29679838 3.18941222]],[[0.61393541 0.82623723 0.67457616 0.81899507]],[[0.79707233 0.74859335 0.77628421 0.7480223 ]],[[0.31151566 0.29784865 0.30493162 0.29869415]],[[0.95138893 0.92515583 0.94782979 0.92759442]],[[0.09704201 0.08871382 0.09298329 0.08921819]],corrosion
[[0.54092865 0.85099742 0.61389681 1.03492243]],[[0.30087409 0.39833531 0.31860828 0.45292732]],[[0.8683154  0.83573738 0.86438085 0.81789958]],[[0.31476935 0.30175845 0.31399069 0.29622347]],[[0.96500383 0.94488458 0.96020883 0.93297254]],[[0.09907974 0.09105816 0.09859015 0.08774834]],corrosion
[[0.93472812 1.40087662 0.93790374 1.55986304]],[[0.5511022  0.70914021 0.53618182 0.74531416]],[[0.76083792 0.70844781 0.76948692 0.70023348]],[[0.182599   0.16666342 0.18581496 0.16462334]],[[0.95694043 0.93546536 0.95678028 0.9281368 ]],[[0.0333424  0.02777669 0.0345272  0.02710084]],corrosion
[[0.74026336 1.51218487 1.14047856 1.50734294]],[[0.4606755  0.66616647 0.53609172 0.67681072]],[[0.79301781 0.73070494 0.77958588 0.72631731]],[[0.20830562 0.18874274 0.20443516 0.18778605]],[[0.97073055 0.93994532 0.95533067 0.94016081]],[[0.04339123 0.03562382 0.04179374 0.0352636 ]],corrosion
[[0.64471229 0.9402119  0.54857525 0.97781306]],[[0.32820003 0.40246536 0.29477374 0.41736664]],[[0.86289198 0.84107131 0.87475613 0.83493788]],[[0.27573962 0.26980929 0.27990235 0.26853617]],[[0.97916992 0.96961199 0.9822683  0.96840388]],[[0.07603234 0.07279705 0.07834532 0.07211168]],corrosion
[[0.48178435 0.76254313 0.40199453 0.69739173]],[[0.26751426 0.36412498 0.23975773 0.34456015]],[[0.88112407 0.84475963 0.89170313 0.85189641]],[[0.26204803 0.24699184 0.26529415 0.25011219]],[[0.98125098 0.9703203  0.9843595  0.97285638]],[[0.06866917 0.06100497 0.07038099 0.06255611]],corrosion
[[3.833244   4.8318766  3.11875795 4.81677043]],[[1.31729299 1.48832615 1.17911101 1.48339719]],[[0.53430883 0.5026598  0.56413014 0.50406429]],[[0.19463325 0.18680922 0.20034867 0.18715503]],[[0.67913913 0.59653215 0.74015147 0.59776778]],[[0.0378821  0.03489768 0.04013959 0.035027  ]],corrosion
[[1.37033041 2.40735711 1.75032137 2.35471143]],[[0.64899943 0.86449738 0.71705563 0.86456381]],[[0.73453967 0.67957374 0.71983431 0.67819903]],[[0.19012002 0.17511117 0.18611945 0.17492942]],[[0.94202698 0.89814482 0.92595848 0.90037235]],[[0.03614562 0.03066392 0.03464045 0.0306003 ]],corrosion
[[0.70464013 1.04033271 0.54116938 1.00630491]],[[0.27271197 0.35448091 0.2377749  0.35491806]],[[0.88578524 0.85760085 0.89776762 0.85550208]],[[0.26123593 0.25044045 0.26754606 0.24936368]],[[0.975554   0.96391287 0.98121665 0.96509153]],[[0.06824421 0.06272042 0.0715809  0.06218225]],corrosion
[[0.63077146 1.22280355 0.91747216 1.25835174]],[[0.41646162 0.59644227 0.47643443 0.61265163]],[[0.81062525 0.75180615 0.79839394 0.74615955]],[[0.21284182 0.19314887 0.20963661 0.19152976]],[[0.97543001 0.95222574 0.96450425 0.95084959]],[[0.04530164 0.03730648 0.04394751 0.03668365]],corrosion
[[0.92706713 1.29064731 0.95772228 1.26684447]],[[0.616549   0.73746691 0.61362637 0.74069544]],[[0.72155273 0.6810632  0.72507989 0.67835036]],[[0.2909286  0.27780848 0.29236898 0.27704313]],[[0.8321467  0.76580431 0.82612474 0.77014808]],[[0.08463945 0.07717755 0.08547962 0.0767529 ]],corrosion
[[0.42683227 0.76103413 0.54111528 0.7481021 ]],[[0.30724551 0.45728454 0.3649008  0.44992935]],[[0.85764414 0.80004942 0.83472486 0.80301053]],[[0.33296654 0.31897638 0.32572254 0.31934732]],[[0.98572714 0.97451709 0.98187937 0.97494971]],[[0.11086672 0.10174593 0.10609517 0.10198271]],corrosion
[[1.56301146 2.06518251 1.3353125  1.93495864]],[[0.85549949 0.99666642 0.77292528 0.96072393]],[[0.63660184 0.5952694  0.66503126 0.60506106]],[[0.22924302 0.2181517  0.23772077 0.22060878]],[[0.82854575 0.7735396  0.85349422 0.78782398]],[[0.05255236 0.04759016 0.05651116 0.04866824]],corrosion
[[1.47496061 1.91271496 1.14094938 2.00438931]],[[0.63764185 0.77646611 0.58948818 0.78187758]],[[0.74425315 0.69764182 0.75286078 0.70095065]],[[0.20542225 0.18964079 0.20755207 0.19224672]],[[0.92159957 0.8985288  0.93968962 0.89368118]],[[0.0421983  0.03596363 0.04307786 0.0369588 ]],corrosion
[[ 6.69263588 11.89997494  8.69290245  9.04979105]],[[1.6132912  2.18354408 1.83926657 1.8820371 ]],[[0.5249673  0.45447574 0.49680242 0.48875794]],[[0.13052295 0.1173343  0.12480349 0.12303778]],[[0.77280732 0.59599326 0.70501469 0.69275556]],[[0.01703624 0.01376734 0.01557591 0.01513829]],corrosion
[[2.39970431 4.52891915 4.12291196 4.51231072]],[[0.75373611 1.10059445 1.02914758 1.10559505]],[[0.75331503 0.68382433 0.70056212 0.68175838]],[[0.23230313 0.21272192 0.21862439 0.21256813]],[[0.91916081 0.8476194  0.86128946 0.84817774]],[[0.05396474 0.04525061 0.04779662 0.04518521]],corrosion
[[0.38225554 0.76275688 0.43494726 0.52842641]],[[0.30275117 0.47748328 0.33163846 0.39049618]],[[0.85625285 0.78665211 0.84380137 0.81776072]],[[0.21304448 0.18789632 0.20417757 0.19619912]],[[0.9891338  0.97830357 0.98762923 0.98496976]],[[0.04538795 0.03530503 0.04168848 0.03849409]],corrosion
[[2.21771825 3.47016502 2.41664683 2.97550622]],[[0.98375    1.23654735 1.00859127 1.14726164]],[[0.61549108 0.55992456 0.61531077 0.5755779 ]],[[0.21389008 0.19978704 0.21509269 0.20283464]],[[0.77342895 0.6464809  0.75380606 0.69683833]],[[0.04574897 0.03991486 0.04626487 0.04114189]],corrosion
[[1.81295453 2.77925051 2.234621   3.485922  ]],[[0.90433949 1.17620597 1.02858743 1.30421336]],[[0.6300607  0.55265183 0.5939321  0.53060692]],[[0.15110135 0.13380739 0.14329643 0.13038587]],[[0.90196883 0.84969472 0.87923992 0.81150395]],[[0.02283162 0.01790442 0.02053387 0.01700048]],corrosion
[[0.73008991 1.05855639 0.88772077 0.96425127]],[[0.39998002 0.51213729 0.43796307 0.48892774]],[[0.83000561 0.7911795  0.8209158  0.79732655]],[[0.33530174 0.3153347  0.33409881 0.31733177]],[[0.92527222 0.89190582 0.90907132 0.90153819]],[[0.11242725 0.09943597 0.11162201 0.10069945]],corrosion
[[1.45727823 3.49544389 3.28850299 3.98379829]],[[0.52138079 1.32141069 1.28506986 1.39973565]],[[0.80829591 0.52054022 0.52821946 0.50715454]],[[0.24833571 0.147447   0.14905723 0.14512722]],[[0.89916404 0.75826902 0.77221381 0.72450043]],[[0.06167062 0.02174062 0.02221806 0.02106191]],corrosion
[[0.45800205 0.78892898 0.51952214 0.82411764]],[[0.33412394 0.50160196 0.37508325 0.51210212]],[[0.84455875 0.77588012 0.82612841 0.7725567 ]],[[0.24976839 0.2248946  0.24268909 0.22401752]],[[0.98736002 0.97820882 0.98566473 0.97724273]],[[0.06238425 0.05057758 0.05889799 0.05018385]],corrosion
[[2.12756733 2.62435233 1.89733331 2.91089288]],[[0.77025893 0.92575411 0.77688199 0.97901354]],[[0.71378431 0.66377687 0.70118873 0.64971965]],[[0.17601709 0.16126516 0.17231985 0.15836148]],[[0.92941643 0.91286586 0.93705841 0.90332766]],[[0.03098202 0.02600645 0.02969413 0.02507836]],corrosion
[[0.17693787 0.25701377 0.21578689 0.31198117]],[[0.15100032 0.20811092 0.17178695 0.22026951]],[[0.92693181 0.90059945 0.91815062 0.89781415]],[[0.24735295 0.23522965 0.24326917 0.23397668]],[[0.99544182 0.99337762 0.9944396  0.9919611 ]],[[0.06118348 0.05533299 0.05917989 0.05474509]],corrosion
[[1.32722798 1.8395342  0.86085401 1.84118911]],[[0.47477547 0.61349576 0.43782462 0.61828721]],[[0.81086864 0.76663945 0.81254213 0.76408656]],[[0.22830553 0.21426078 0.22802855 0.21284348]],[[0.96350783 0.9491778  0.97633867 0.94914334]],[[0.05212341 0.04590768 0.05199702 0.04530235]],corrosion
[[0.53556069 1.15020318 0.86003841 1.09468409]],[[0.34019337 0.54908551 0.46595099 0.54016666]],[[0.84718628 0.77404617 0.80072956 0.77597758]],[[0.25073068 0.23505987 0.23998863 0.23601431]],[[0.98786669 0.9739391  0.98050924 0.97519762]],[[0.06286587 0.05525314 0.05759454 0.05570276]],corrosion
[[0.33778831 0.61682385 0.39011268 0.60593513]],[[0.26315629 0.40797452 0.28040349 0.40384992]],[[0.87551239 0.81541156 0.87004645 0.81696012]],[[0.26419426 0.23699065 0.26206972 0.23781309]],[[0.97557081 0.95538086 0.9717893  0.95616785]],[[0.06979861 0.05616457 0.06868054 0.05655506]],corrosion
[[1.31124017 1.89841846 1.41206306 2.2302202 ]],[[0.77306637 0.96261893 0.80523423 1.04042319]],[[0.66393796 0.60424819 0.65403983 0.58552541]],[[0.19820627 0.18181943 0.19566002 0.17772271]],[[0.86617294 0.80616744 0.85590803 0.77229714]],[[0.03928573 0.03305831 0.03828284 0.03158536]],corrosion
[[2.96528524 4.20228693 2.88465241 4.19868614]],[[1.27801737 1.53629184 1.26206417 1.53897099]],[[0.51458352 0.46194363 0.51757426 0.46096547]],[[0.13813471 0.1286067  0.13877512 0.12832598]],[[0.79192615 0.70519285 0.79751292 0.70544224]],[[0.0190812  0.01653968 0.01925853 0.01646756]],corrosion
[[3.05005255 4.74900074 2.29300561 4.08364825]],[[1.06873647 1.3918751  0.91347859 1.27242141]],[[0.6267864  0.55788715 0.65910608 0.57990477]],[[0.13553009 0.12087805 0.14172682 0.12479414]],[[0.91633298 0.86972298 0.93709486 0.88797521]],[[0.0183684  0.0146115  0.02008649 0.01557358]],corrosion
[[2.16039483 3.52898638 2.76900528 3.53173444]],[[0.95822989 1.27473442 1.1405947  1.27432033]],[[0.62162821 0.54306762 0.5687044  0.54362931]],[[0.17064197 0.15488629 0.1597348  0.15490649]],[[0.88876853 0.81812598 0.85729087 0.81798311]],[[0.02911868 0.02398976 0.02551521 0.02399602]],corrosion
[[0.76501824 1.03770983 0.54814956 1.10358188]],[[0.36905351 0.46563129 0.32294745 0.47222328]],[[0.84680058 0.81291425 0.85869346 0.81431041]],[[0.29220535 0.28582579 0.29459663 0.28627856]],[[0.9817211  0.97516805 0.98688939 0.97359172]],[[0.08538396 0.08169638 0.08678717 0.08195542]],corrosion
[[0.28214728 0.4022544  0.28958799 0.49732965]],[[0.19823978 0.27900177 0.21825093 0.29699258]],[[0.90798653 0.87180567 0.89739391 0.86770869]],[[0.22633724 0.21290293 0.22152131 0.21125634]],[[0.99289171 0.98986427 0.99270358 0.98746162]],[[0.05122855 0.04532766 0.04907169 0.04462924]],corrosion
[[1.83199632 2.6374262  1.48243826 2.3263847 ]],[[0.56638726 0.76563441 0.55556222 0.67723019]],[[0.79877874 0.73807262 0.78801579 0.76310477]],[[0.19929909 0.17928686 0.19431915 0.18595864]],[[0.93786997 0.91056916 0.94975126 0.92110963]],[[0.03972013 0.03214378 0.03775993 0.03458062]],corrosion
[[3.35604005 5.99737106 3.8740474  5.74834437]],[[0.90363441 1.3499699  0.9989999  1.33028296]],[[0.71819263 0.62357224 0.69215883 0.6249831 ]],[[0.23611064 0.20860008 0.21878606 0.20932404]],[[0.89368907 0.81058803 0.87749837 0.81847165]],[[0.05574824 0.04351399 0.04786734 0.04381655]],corrosion
[[1.57510952 3.45525947 2.82632662 3.59324785]],[[0.56642772 0.96589862 0.84342234 0.98912042]],[[0.79158626 0.69074854 0.71922602 0.68478817]],[[0.2038068  0.175546   0.18400075 0.17373862]],[[0.94484752 0.87894511 0.90086389 0.87407884]],[[0.04153721 0.0308164  0.03385628 0.03018511]],corrosion
[[0.43018844 0.90873927 0.56986737 0.72754735]],[[0.29222737 0.47591057 0.35609434 0.41922905]],[[0.86656892 0.79905949 0.84081244 0.81783766]],[[0.33995442 0.32311104 0.33407931 0.32650917]],[[0.98041408 0.95865369 0.9740618  0.96689762]],[[0.11556901 0.10440074 0.11160899 0.10660824]],corrosion
[[3.03625311 3.58007687 3.2412508  3.88629084]],[[1.29698057 1.41756086 1.32802535 1.46893017]],[[0.50834781 0.48293807 0.50570949 0.47521408]],[[0.14638741 0.14141904 0.14567392 0.13997166]],[[0.73114945 0.68242025 0.71235959 0.65521991]],[[0.02142927 0.01999934 0.02122089 0.01959206]],corrosion
[[0.53927397 0.6556403  0.4754791  0.80575565]],[[0.30947603 0.36608286 0.26773501 0.38667373]],[[0.8644813  0.8412438  0.88267838 0.83824514]],[[0.30518314 0.29445578 0.314166   0.29403888]],[[0.95417332 0.94428972 0.95958026 0.93153407]],[[0.09313675 0.08670421 0.09870028 0.08645886]],corrosion
[[0.23513869 0.29094715 0.22581219 0.29334946]],[[0.22667436 0.27459377 0.2184881  0.27696192]],[[0.88749178 0.86428058 0.89147315 0.86310721]],[[0.39773038 0.38095533 0.40089706 0.38024039]],[[0.96722284 0.95945597 0.96852291 0.9591212 ]],[[0.15818946 0.14512696 0.16071846 0.14458276]],corrosion
[[2.4151211  3.11249225 1.6320991  3.04510222]],[[1.04541317 1.20656027 0.83994895 1.19105779]],[[0.59760878 0.55815737 0.65237613 0.56185356]],[[0.14498421 0.13654422 0.15788888 0.13727953]],[[0.86894378 0.83104041 0.91139418 0.83469548]],[[0.02102042 0.01864433 0.0249289  0.01884567]],corrosion
[[0.61694763 1.09169984 0.76510761 1.08650392]],[[0.38257891 0.51826482 0.41303833 0.51406853]],[[0.83041848 0.78871672 0.82361645 0.79103754]],[[0.25207512 0.2413817  0.25039235 0.24185859]],[[0.98473364 0.97296374 0.98105421 0.97309195]],[[0.06354187 0.05826513 0.06269633 0.05849558]],corrosion
[[0.5628819  0.84671026 0.4837284  0.85014994]],[[0.3571362  0.49766569 0.34931607 0.49984972]],[[0.83947068 0.78284219 0.8382322  0.781715  ]],[[0.21913144 0.19843087 0.21874698 0.19777302]],[[0.9740861  0.96102162 0.97773324 0.96086112]],[[0.04801859 0.03937481 0.04785024 0.03911417]],corrosion
[[1.82433433 3.2384223  2.24186846 2.88916335]],[[0.77554164 1.04952404 0.7714377  1.00379564]],[[0.69538491 0.63181563 0.71799176 0.63805508]],[[0.17683913 0.16233852 0.18908454 0.16409235]],[[0.92712982 0.870486   0.91091542 0.8844349 ]],[[0.03127208 0.0263538  0.03575296 0.0269263 ]],corrosion
[[2.56379881 4.21833641 3.41386613 4.20981391]],[[1.12835547 1.47120398 1.30141858 1.46777493]],[[0.56443603 0.49051815 0.52597297 0.49108549]],[[0.13962021 0.12538705 0.13234103 0.12542769]],[[0.87865479 0.80009985 0.83826081 0.80054671]],[[0.0194938  0.01572191 0.01751415 0.0157321 ]],corrosion
[[0.38909175 0.56800739 0.35085014 0.58573792]],[[0.22531489 0.30489652 0.24316635 0.31057206]],[[0.89576495 0.86349451 0.8869156  0.86172317]],[[0.299866   0.2857833  0.29691778 0.28535968]],[[0.97913493 0.96941947 0.9811682  0.96838611]],[[0.08991962 0.0816721  0.08816017 0.08143015]],corrosion
[[1.28038397 2.06804101 1.36153142 2.03931772]],[[0.47646474 0.70178619 0.5656603  0.69670613]],[[0.81954823 0.74345081 0.77453732 0.74428608]],[[0.25685305 0.22206236 0.22894303 0.22212861]],[[0.94059263 0.90355486 0.93646109 0.90489416]],[[0.06597349 0.04931169 0.05241491 0.04934112]],corrosion
[[0.34218713 0.50701508 0.37654135 0.49764824]],[[0.25073782 0.34339698 0.27380451 0.33515578]],[[0.88308536 0.8433047  0.87253173 0.84729731]],[[0.30055362 0.28533515 0.29634623 0.28700049]],[[0.97780138 0.96716306 0.97558387 0.96777123]],[[0.09033248 0.08141615 0.08782109 0.08236928]],corrosion
[[0.68041667 2.13873166 1.92015873 2.35166215]],[[0.3060119  0.55805564 0.49202381 0.60237962]],[[0.87556549 0.81199675 0.8350766  0.79918617]],[[0.28282922 0.26089484 0.26665583 0.25819803]],[[0.98968115 0.96738161 0.97071169 0.96413402]],[[0.07999237 0.06806612 0.07110533 0.06666622]],corrosion
[[1.06430747 1.2045796  1.09108514 1.20822773]],[[0.64411139 0.70191036 0.64335142 0.70371144]],[[0.71764583 0.69632106 0.72037669 0.69553489]],[[0.28648207 0.27685567 0.28801358 0.2763357 ]],[[0.71548054 0.67813637 0.70848707 0.67716221]],[[0.08207198 0.07664906 0.08295182 0.07636142]],corrosion
[[2.61752392 4.55816097 3.44775881 5.52511223]],[[0.77996411 1.15700657 0.96845363 1.26400914]],[[0.73207125 0.64244524 0.68333874 0.62940365]],[[0.18236817 0.15790336 0.16712954 0.15568636]],[[0.95165495 0.91546653 0.93610681 0.89761399]],[[0.03325815 0.02493347 0.02793228 0.02423824]],corrosion
[[0.13374685 0.17616942 0.11230917 0.16300556]],[[0.12624106 0.16191798 0.11025941 0.15442716]],[[0.93760718 0.92040344 0.94507304 0.92362418]],[[0.27850395 0.26872181 0.28274179 0.27052454]],[[0.99186876 0.98928605 0.99317057 0.99008672]],[[0.07756445 0.07221141 0.07994292 0.07318352]],corrosion
[[0.96625104 1.56224889 1.02007405 1.49413205]],[[0.39042118 0.54427918 0.42031602 0.52501198]],[[0.84839132 0.79879699 0.83380958 0.8057724 ]],[[0.25351708 0.2344137  0.24638986 0.23715265]],[[0.94967674 0.91864972 0.94686261 0.92219443]],[[0.06427091 0.05494978 0.06070796 0.05624138]],corrosion
[[3.3325294  3.70703689 3.81533205 5.33213713]],[[1.33348615 1.42860866 1.44052186 1.71918605]],[[0.51058816 0.48579257 0.48579402 0.43632269]],[[0.14036302 0.13570707 0.1356176  0.12789503]],[[0.76422427 0.73787428 0.73006875 0.6229186 ]],[[0.01970178 0.01841641 0.01839213 0.01635714]],corrosion
[[0.80237437 1.42055948 1.00426241 1.44826853]],[[0.44694916 0.64439605 0.51427493 0.65436067]],[[0.80871114 0.74385019 0.78628556 0.74068706]],[[0.24348971 0.22259189 0.23687416 0.22189838]],[[0.96426675 0.93673234 0.95527162 0.93549827]],[[0.05928724 0.04954715 0.05610937 0.04923889]],corrosion
[[1.33499125 1.96755763 1.35082802 2.51510248]],[[0.43796753 0.60693595 0.49939365 0.6875025 ]],[[0.84021018 0.7868883  0.81369425 0.77334666]],[[0.24112329 0.22593414 0.23620986 0.22317852]],[[0.97705972 0.96618041 0.97673802 0.9567346 ]],[[0.05814044 0.05104624 0.0557951  0.04980865]],corrosion
[[0.42408016 0.54093233 0.29641121 0.62655886]],[[0.29067201 0.33411014 0.20465154 0.36671206]],[[0.86592655 0.84962157 0.9052249  0.83745144]],[[0.31843274 0.31040561 0.33554595 0.30720669]],[[0.9808779  0.97562309 0.98664462 0.97176003]],[[0.10139941 0.09635164 0.11259108 0.09437595]],corrosion
[[1.00896879 1.61760125 1.03714763 1.59215992]],[[0.52493204 0.67523364 0.51170569 0.67922757]],[[0.78139095 0.74178528 0.79000038 0.73863641]],[[0.34154419 0.33079533 0.34150595 0.33012105]],[[0.94474381 0.91157778 0.94341639 0.91299168]],[[0.11665243 0.10942555 0.11662632 0.10897991]],corrosion
[[0.96635495 1.58539751 1.14540024 1.57159972]],[[0.39007163 0.53069558 0.43018718 0.52556384]],[[0.84086323 0.79684565 0.82735639 0.79887459]],[[0.259728   0.24505558 0.25612171 0.24704227]],[[0.96579036 0.94361704 0.9592439  0.94410055]],[[0.06745863 0.06005224 0.06559833 0.06102989]],corrosion
[[2.53535603 4.52140523 3.51110589 4.13639341]],[[1.11286776 1.50878762 1.31806078 1.44156557]],[[0.57181929 0.49177744 0.52786966 0.5030388 ]],[[0.13150712 0.11707742 0.12316559 0.11890018]],[[0.90487435 0.83040775 0.868221   0.84484697]],[[0.01729412 0.01370712 0.01516976 0.01413725]],corrosion
[[0.75767202 1.31270836 1.05667474 1.56456601]],[[0.53198673 0.75573362 0.63296457 0.80098004]],[[0.75609629 0.67569384 0.72339863 0.66783039]],[[0.17007529 0.15092362 0.16199359 0.14885244]],[[0.97405828 0.95494163 0.9637296  0.94629789]],[[0.0289256  0.02277794 0.02624192 0.02215705]],corrosion
[[0.67109414 1.14455587 0.79874971 1.28049274]],[[0.41356391 0.57855296 0.45580072 0.60903128]],[[0.81745627 0.76090025 0.80361687 0.75398238]],[[0.19556585 0.1776707  0.19106073 0.1763277 ]],[[0.97724272 0.9611872  0.97291669 0.95657758]],[[0.038246   0.03156688 0.0365042  0.03109146]],corrosion
[[0.77362416 1.29965794 0.90034305 1.27713683]],[[0.54911275 0.76001252 0.60276786 0.75494744]],[[0.74748578 0.67184347 0.72763206 0.67296411]],[[0.27941972 0.25352725 0.27147519 0.25402713]],[[0.8786076  0.79592879 0.85859672 0.79946748]],[[0.07807538 0.06427607 0.07369878 0.06452978]],corrosion
[[0.55264525 0.86588746 0.61279933 0.86932161]],[[0.3794254  0.50676788 0.41014664 0.51401775]],[[0.82708615 0.78032501 0.81452419 0.77647202]],[[0.30104604 0.28107634 0.29381135 0.27858602]],[[0.93833353 0.90349548 0.93167108 0.90310344]],[[0.09062872 0.07900391 0.08632511 0.07761017]],corrosion
[[0.61776138 0.8375674  0.47977273 0.82781765]],[[0.44996453 0.55449229 0.37878788 0.5472488 ]],[[0.79129766 0.74970351 0.82053034 0.75309769]],[[0.230621   0.21429796 0.24172751 0.21641866]],[[0.95868793 0.94395866 0.96791105 0.94461135]],[[0.05318605 0.04592362 0.05843219 0.04683703]],corrosion
[[0.71659863 1.17110442 1.04028446 1.27981928]],[[0.51558299 0.69604418 0.62530048 0.72805221]],[[0.76161734 0.69582912 0.72514341 0.68642392]],[[0.31935154 0.29078907 0.30565429 0.28765947]],[[0.79566471 0.66568876 0.70289514 0.63464015]],[[0.10198541 0.08455828 0.09342455 0.08274797]],corrosion
[[0.55245816 1.01729915 0.69436774 0.99730315]],[[0.37417806 0.5483826  0.43219033 0.54611082]],[[0.82940302 0.7662395  0.80744381 0.76621634]],[[0.2185074  0.19417085 0.2092092  0.19490525]],[[0.97111759 0.94690405 0.96372921 0.94794886]],[[0.04774548 0.03770232 0.04376849 0.03798806]],corrosion
[[0.81073817 1.52644327 0.97955602 1.29191689]],[[0.4475434  0.71304748 0.55025231 0.62208744]],[[0.80847623 0.71342286 0.76372533 0.7471002 ]],[[0.28443932 0.25797391 0.27093736 0.26736573]],[[0.95681    0.91855884 0.94772944 0.93108898]],[[0.08090573 0.06655054 0.07340705 0.07148443]],corrosion
[[0.63781381 1.02573616 0.74557128 1.02497303]],[[0.45962343 0.61685219 0.51113732 0.61766796]],[[0.78647441 0.72744536 0.76598089 0.7267058 ]],[[0.23335946 0.21178324 0.22552331 0.21209469]],[[0.96312177 0.94074624 0.95688214 0.94081219]],[[0.05445664 0.04485214 0.05086076 0.04498416]],corrosion
[[1.0467706  2.29082837 1.39093274 1.82743518]],[[0.61465479 0.92569888 0.68862133 0.83891368]],[[0.73215444 0.64832037 0.71670769 0.66361719]],[[0.16401023 0.14574556 0.16283775 0.14772334]],[[0.96381038 0.92087161 0.9519726  0.93688717]],[[0.02689936 0.02124177 0.02651613 0.02182219]],corrosion
[[0.97537879 1.63384203 0.97180515 1.47436514]],[[0.44826555 0.64549788 0.49572292 0.61916206]],[[0.82066645 0.75893515 0.7954706  0.76180024]],[[0.35786266 0.34026333 0.34720652 0.33980472]],[[0.94515735 0.90804907 0.94533546 0.91698736]],[[0.12806568 0.11577914 0.12055237 0.11546725]],corrosion
[[0.18455569 0.25587412 0.17357708 0.24442169]],[[0.16468464 0.213013   0.15965544 0.20759217]],[[0.91950213 0.89745786 0.92153407 0.89953738]],[[0.24498294 0.23439311 0.24608587 0.23539135]],[[0.9961062  0.9946015  0.99633766 0.99484327]],[[0.06001664 0.05494013 0.06055825 0.05540909]],corrosion
[[0.30505886 0.45663076 0.28358947 0.44409155]],[[0.25171074 0.33854489 0.24425147 0.33684169]],[[0.87924821 0.84204857 0.88177551 0.84192438]],[[0.25917833 0.24649573 0.25817604 0.24556563]],[[0.9889708  0.98349083 0.98974992 0.98394769]],[[0.06717341 0.06076014 0.06665487 0.06030248]],corrosion
[[1.61949572 2.75886653 1.89901374 2.74372414]],[[0.56595141 0.85546451 0.68549823 0.84425834]],[[0.79028908 0.70465015 0.74615789 0.70877588]],[[0.21827826 0.19311956 0.20477001 0.19393636]],[[0.96844837 0.94623706 0.963007   0.94650023]],[[0.0476454  0.03729517 0.04193076 0.03761131]],corrosion
[[0.68402074 0.99674424 0.62172973 0.98434707]],[[0.46332785 0.5953288  0.43981982 0.57120848]],[[0.7888907  0.73881148 0.79702209 0.75028122]],[[0.23848453 0.21820801 0.24067769 0.22271044]],[[0.94503121 0.91995814 0.9501132  0.92096137]],[[0.05687487 0.04761473 0.05792575 0.04959994]],corrosion
